time(sec),pressure(pa),altitude(m),temperature(C),xAcceleration(m/s^2),yAcceleration(m/s^2),zAcceleration(m/s^2)
0.80,99040.50,0.06,27.62,0.15,-0.15,0.00
2.92,99033.75,-0.25,27.62,0.11,-0.15,-0.04
4.56,99034.25,0.56,27.69,0.11,-0.08,0.11
6.20,99029.75,0.63,27.69,0.11,-0.15,-0.04
7.84,99028.50,0.56,27.69,0.15,-0.15,0.04
9.48,99023.25,0.69,27.69,0.15,-0.11,0.04
11.08,99024.00,0.69,27.75,0.15,-0.04,-0.04
12.73,99026.00,1.00,27.75,0.11,-0.08,0.04
14.37,99022.50,1.12,27.75,0.11,-0.08,0.00
16.01,99018.75,1.12,27.75,0.04,-0.15,0.08
17.66,99019.25,1.56,27.81,0.15,-0.04,0.00
19.30,99013.50,1.37,27.81,0.11,-0.15,0.00
20.94,99014.50,1.75,27.81,0.11,-0.04,-0.04
22.58,99016.00,1.56,27.81,0.15,-0.15,0.11
24.22,99011.50,2.00,27.81,0.15,-0.08,0.00
25.87,99011.75,2.06,27.87,0.08,-0.11,0.00
27.51,99008.25,1.94,27.87,0.11,-0.19,0.00
29.15,99005.50,2.13,27.87,0.15,-0.04,0.15
30.79,99003.00,2.00,27.94,0.15,-0.11,-0.08
32.43,99007.75,2.13,27.94,0.08,-0.04,0.00
34.08,99006.00,2.06,27.94,0.15,-0.19,-0.08
35.72,99008.00,2.13,27.94,0.27,-0.11,-0.15
37.37,99005.25,2.50,27.94,0.11,-0.11,0.04
39.01,99003.50,2.06,28.00,0.23,-0.19,-0.08
40.65,99005.00,2.25,28.00,0.23,-0.04,0.08
42.29,99005.00,2.56,28.00,0.19,-0.08,-0.08
43.93,99008.25,2.25,28.00,0.23,-0.15,0.15
45.57,99009.00,1.94,28.06,0.11,-0.08,-0.04
47.22,99010.75,1.94,28.06,0.15,-0.11,0.00
48.86,99006.75,2.38,28.12,0.11,0.00,-0.04
50.50,99008.75,1.94,28.06,0.11,-0.15,0.04
52.14,99005.75,2.31,28.12,0.15,0.00,0.04
53.78,99010.25,2.31,28.12,0.19,-0.08,0.11
55.43,99004.75,2.19,28.12,-3.10,56.58,0.23
57.07,98758.50,35.56,28.12,0.23,-11.07,0.77
58.72,98479.25,48.94,28.19,0.54,-11.49,0.50
60.36,98498.25,40.50,28.19,1.92,-15.02,3.95
62.00,98739.25,5.81,28.19,-8.58,-15.28,-16.40
63.64,99006.00,2.00,28.19,-8.81,-9.92,-2.95
65.28,99008.25,2.13,28.25,-8.85,-9.81,-2.80
66.93,99004.50,2.25,28.25,-8.77,-9.77,-2.57
68.57,99007.00,2.13,28.31,-8.66,-9.81,-2.64
70.21,99009.75,2.06,28.31,-8.66,-9.77,-2.64
71.85,99013.25,1.56,28.31,-8.77,-9.73,-2.60
73.49,99013.25,1.50,28.37,-8.77,-9.81,-2.64
75.14,99008.50,1.63,28.37,0.88,-31.26,-0.88
76.79,99011.75,2.50,28.37,2.45,-17.39,2.95
78.43,99002.75,2.38,28.44,8.31,-7.58,4.48
80.07,99003.00,2.63,28.44,0.77,-9.88,-8.70
81.71,99006.75,1.88,28.50,5.75,-17.54,2.11
83.35,99002.25,2.06,28.50,5.59,-18.27,3.14
85.00,99011.00,1.94,28.50,0.57,-18.92,-0.88
86.64,99003.00,2.00,28.56,0.31,-19.35,1.61
88.28,99006.75,2.38,28.56,0.80,-19.46,1.61
89.92,99008.25,1.75,28.56,1.07,-16.59,1.46
91.56,99006.25,1.94,28.56,0.84,-16.78,0.57
93.21,99019.25,1.19,28.62,1.65,-24.86,0.61
94.85,99021.00,0.69,28.62,9.69,-8.39,3.49
96.50,99020.75,0.81,28.62,9.65,-8.50,3.37
98.14,99020.00,1.12,28.62,9.58,-8.50,3.41
99.78,99021.00,1.00,28.69,9.54,-8.39,3.37
101.42,99021.00,0.81,28.69,9.65,-8.58,3.41
103.06,99025.25,0.56,28.69,9.58,-8.43,3.29
104.71,99021.25,0.75,28.69,9.58,-8.31,3.45
106.35,99020.75,0.50,28.69,9.65,-8.47,3.52
107.99,99023.50,0.31,28.75,9.50,-8.50,3.45
109.63,99023.25,0.81,28.75,9.46,-8.39,3.45
111.27,99028.50,1.00,28.75,9.62,-8.43,3.45
112.91,99025.50,0.50,28.81,9.58,-8.43,3.45
114.56,99025.50,0.63,28.81,9.62,-8.47,3.33
116.20,99023.50,0.81,28.81,9.54,-8.62,3.68
117.85,99023.50,0.50,28.81,9.54,-8.43,3.49
119.49,99023.25,0.37,28.81,9.54,-8.50,3.37
121.13,99024.50,0.75,28.87,9.58,-8.50,3.45
122.77,99024.75,0.44,28.87,9.58,-8.58,3.26
124.42,99022.50,0.75,28.87,9.65,-8.47,3.45
126.06,99024.75,1.06,28.87,9.62,-8.35,3.49
127.70,99023.50,0.75,28.87,9.58,-8.39,3.37
129.34,99018.75,0.94,28.87,9.62,-8.39,3.37
130.98,99017.50,1.37,28.87,9.58,-8.50,3.45
132.62,99019.00,1.19,28.94,9.69,-8.47,3.37
134.27,99019.00,1.12,28.94,9.62,-8.35,3.37
135.91,99018.75,1.37,28.94,9.39,-8.43,3.72
137.56,99021.50,1.44,28.94,9.54,-8.54,3.41
139.20,99017.50,1.19,28.94,9.58,-8.54,3.45
140.84,99018.50,1.50,29.00,9.58,-8.47,3.37
142.48,99017.75,1.56,29.00,9.65,-8.47,3.33
144.12,99014.00,1.50,29.00,9.62,-8.47,3.37
145.77,99011.50,1.56,29.00,9.58,-8.50,3.37
147.41,99014.25,1.69,29.00,9.54,-8.35,3.37
